OD,oLon,oLat,dLon,dLat,busDis,busTime,busWalkTime,busWalkDis,busWaitTime,busBoardTime,busBoardDis,busTransNum,taxiCost,busCost,driveTime,driveDis
1001401488099960-3003401444099944,113.94865920016564,22.533862145734602,113.89684251673452,22.515949362495324,6637.0,4869.0,906.0,2116.0,0.0,3963.0,9080.0,0,21.1288,2.5,1473,7533
1001401488099960-7007401572099956,113.94865920016564,22.533862145734602,114.054295263144,22.534703901263967,9931.0,2370.0,1084.0,2530.0,0.0,1286.0,11367.0,0,29.0344,4.0,1257,13849
1001401488099960-1001401568100022,113.94865920016564,22.533862145734602,114.04428184396723,22.605595255249924,16153.0,4577.0,298.0,698.0,1.0,4278.0,21885.0,0,43.9672,2.5,2660,17128
1001401488099960-1001401558100038,113.94865920016564,22.533862145734602,114.03174842869116,22.62341438728521,16784.0,4748.0,574.0,1340.0,0.0,4174.0,18736.0,0,45.48159999999999,2.5,2524,18174
1001401488099960-15015401672100040,113.94865920016564,22.533862145734602,114.17853554964644,22.636219292319716,31759.0,5402.0,1666.0,3889.0,1.0,3735.0,34028.0,1,86.28808000000001,8.0,4057,34262
1001401488099960-3003401596099976,113.94865920016564,22.533862145734602,114.08057626792069,22.55549095510922,14477.0,4694.0,674.0,1574.0,0.0,4020.0,15663.0,0,39.9448,4.0,2221,17169
1001401486099960-3003401440100000,113.9462314708742,22.533816054785625,113.89057221183485,22.57899985032657,9748.0,3999.0,692.0,1616.0,0.0,3307.0,9973.0,0,28.5952,2.0,1864,9622
1001401488099960-3003401476099968,113.94865920016564,22.533862145734602,113.93508251975264,22.543756782977205,2264.0,2111.0,230.0,538.0,0.0,1881.0,3030.0,0,10.6336,2.0,646,4107
3003401486099950-3003401458099970,113.94766851071554,22.52369034958485,113.91318170851127,22.54559383025928,5423.0,3227.0,963.0,2250.0,1.0,2263.0,4828.0,0,18.2152,2.0,1363,7337
1001401486099960-1001401450100002,113.9462314708742,22.533816054785625,113.90147482072044,22.58033874895443,8868.0,4018.0,837.0,1954.0,0.0,3181.0,9529.0,0,26.4832,2.0,2248,9960
3003401486099950-1001401582099952,113.94766851071554,22.52369034958485,114.06296045671043,22.52696515239005,11076.0,2877.0,935.0,2184.0,1.0,1941.0,10943.0,0,31.7824,3.0,1297,14378
1001401488099960-1001401452100002,113.94865920016564,22.533862145734602,113.90390326191515,22.580385606276568,8867.0,4361.0,1172.0,2736.0,0.0,3189.0,9529.0,0,26.4808,2.0,1925,10823
1001401488099960-3003401542100066,113.94865920016564,22.533862145734602,114.01281980124031,22.655778953979983,18288.0,7120.0,491.0,1148.0,1.0,6628.0,24565.0,1,49.0912,3.5,3383,20924
1001401488099960-7007401476100012,113.94865920016564,22.533862145734602,113.93636317372896,22.59567353480876,7385.0,4267.0,998.0,2330.0,0.0,3269.0,8960.0,0,22.924,2.0,1410,13535
1001401488099960-3003401390100054,113.94865920016564,22.533862145734602,113.82846792830996,22.638697417913388,21786.0,5321.0,345.0,806.0,0.0,4976.0,20784.0,0,57.4864,2.5,2847,21370
1001401486099960-1001401450100008,113.9462314708742,22.533816054785625,113.90132335987906,22.587104233489214,9564.0,5358.0,703.0,1642.0,0.0,4655.0,12371.0,1,28.1536,4.0,2738,12407
1001401488099960-1001401564100064,113.94865920016564,22.533862145734602,114.0384079694472,22.65286982341001,20379.0,6551.0,720.0,1682.0,0.0,5831.0,22265.0,0,54.1096,3.0,3403,21269
1001401486099960-1001401550100032,113.9462314708742,22.533816054785625,114.02217635093888,22.61646792922127,15421.0,5699.0,382.0,892.0,0.0,5317.0,25732.0,0,42.2104,2.5,2586,17799
1001401488099960-3003401542100050,113.94865920016564,22.533862145734602,114.0132103687948,22.63773592584053,16502.0,5319.0,421.0,984.0,0.0,4898.0,21411.0,0,44.80479999999999,2.5,2786,18466
1001401488099960-7007401428099988,113.94865920016564,22.533862145734602,113.8786843889518,22.567488555266053,9916.0,3366.0,412.0,964.0,1.0,2953.0,10457.0,0,28.9984,2.5,1447,10175
1001401488099960-3003401444099996,113.94865920016564,22.533862145734602,113.895530135765,22.574583551158145,9062.0,3805.0,624.0,1456.0,0.0,3181.0,9529.0,0,26.9488,2.0,1355,9835
